taxonomy,Lon,Lat,BALcomplete,BALcompleteSTD,BELcomplete,BELcompleteSTD,CHcomplete,CHcompleteSTD,EAcomplete,EAcompleteSTD,NFcomplete,NFcompleteSTD,STcomplete,STcompleteSTD,SFcomplete,SFcompleteSTD,SUcomplete,SUcompleteSTD,ISKcomplete,ISKcompleteSTD,ISHAMcomplete,ISHAMcompleteSTD,BALext,BALmod,BALslight,BALno,BELext,BELmod,BELslight,BELno,CHext,CHmod,CHslight,CHno,EAext,EAmod,EAslight,EAno,NFext,NFmod,NFslight,NFno,SText,STmod,STslight,STno,SFext,SFmod,SFslight,SFno,SUext,SUmod,SUslight,SUno,ISKext,ISKmod,ISKslight,ISKno,ISHAMext,ISHAMmod,ISHAMslight,ISHAMno
CR+PC/LWAL+DUC/FC/HBET:1-16,74.5803,43.0166,0.0,,0.002333,,0.008329,,0.002331,,0.258581,,0.016323,,0.005996,,0.0,,0.031647,,0.031314,,0.0,0.001668,0.076702,2.92163,0.004999,0.030661,0.476308,2.4856990000000003,0.014658,0.079295,0.770817,2.1269009999999997,0.004999,0.031648,0.48753500000000005,2.473487,0.197297,0.507631,1.472084,0.564407,0.029649,0.11361700000000001,0.956151,1.8842599999999998,0.012325,0.058966,0.685449,2.237264,0.0,0.000999,0.072981,2.9260200000000003,0.049639,0.177276,1.159816,1.5816219999999999,0.04864,0.177275,1.155149,1.5876219999999999
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.5803,43.0166,0.001002,,0.094003,,0.35587399999999997,,0.138599,,3.140201,,0.5844729999999999,,0.30485,,0.00433,,0.977722,,0.968728,,0.009341001,0.06204,1.1093469999999999,9.81827,0.199673,0.71801,3.585404,6.402909999999999,0.471204,1.2137870000000002,4.427473,4.531662,0.242927,0.821823,3.8026190000000004,5.994032,1.482081,2.2903990000000003,3.198754,0.8885649999999999,0.620226,1.510781,4.610258,3.674262,0.425838,1.137074,4.319001999999999,4.813236,0.017329,0.116292,1.497458,9.364591,0.7972279999999999,1.8854630000000001,4.616723,2.722864,0.793223,1.880134,4.615715,2.7422
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.5803,43.0166,0.0,,0.001333,,0.012658,,0.001666,,1.869445,,0.034977,,0.007327,,0.0,,0.090614,,0.089948,,0.0,0.000334,0.014677,27.984990000000003,0.004666,0.032326,0.566967,27.394709999999996,0.027986,0.128604,1.559491,26.271259999999998,0.005663,0.034648,0.625454,27.33257,1.3935030000000002,3.0799830000000004,9.868763000000001,11.788310000000001,0.057973,0.258546,2.4819080000000002,25.1666,0.018987,0.095617,1.232851,26.645220000000002,0.0,0.0,0.011662,27.98834,0.137924,0.510142,3.852793,23.40853,0.13426,0.503808,3.821791,23.45019
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.5803,43.0166,0.052025,,0.881858,,2.1313590000000002,,0.940211,,19.5961,,3.3054930000000002,,1.681083,,0.051642,,5.301138,,5.263812000000001,,0.093369,0.391516,3.769451,52.69364,0.9175610000000001,3.034104,14.929689999999999,37.23679,1.9732459999999998,5.236922,19.27291,28.385559999999998,0.977625,3.1102950000000003,14.99381,36.97806,7.436996000000001,11.01319,14.554889999999999,4.398829,2.7348169999999996,6.720055,20.889210000000002,23.35043,1.639216,4.497381,17.984289999999998,31.19803,0.093964,0.378889,3.761913,52.71359,3.815633,8.424108,21.61844,17.84068,3.7826440000000003,8.394432,21.62343,17.93569
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5803,43.0166,0.428839,,5.598512,,12.84948,,5.920306,,92.62106,,19.207829999999998,,10.33129,,0.41052,,29.501559999999998,,29.28197,,0.476235,1.848191,15.93126,198.3155,4.679925,12.83182,57.4645,136.4252,8.937385,21.27956,70.94219,102.9914,4.849611,13.19038,57.51817,135.5215,25.28044,36.02095,48.08661,14.99094,12.12445,26.12885,75.66035,83.87852,7.518927000000001,18.68635,66.83118,113.6323,0.470166,1.808482,15.9007,198.4101,15.81647,31.425079999999998,76.67309,63.58381,15.74645,31.33339,76.70467,63.93351
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.5181,42.9923,0.003672,,0.224313,,0.47152,,0.175259,,1.475222,,0.62815,,0.373172,,0.018991,,0.9574021,,0.881092,,0.022011,0.100367,0.95557,5.91838,0.253666,0.71531,2.7076540000000002,3.099057,0.4119,1.037518,2.933589,2.145473,0.20194600000000001,0.6101810000000001,2.571773,3.4408410000000003,0.812327,1.4640469999999999,2.4317830000000002,0.816621,0.5181939999999999,1.172539,2.918041,1.7630759999999999,0.35889699999999997,0.928776,2.860503,2.478652,0.046652,0.179622,1.395138,5.359597,0.688217,1.3558620000000001,2.7591639999999997,1.239355,0.668876,1.329181,2.804475,1.316376
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.5181,42.9923,0.012337,,0.287943,,0.508446,,0.18123399999999998,,1.9129990000000001,,0.6723819999999999,,0.375131,,0.018657,,1.019916,,0.948947,,0.022343,0.096368,0.747203,7.121749,0.250958,0.6962550000000001,2.6179259999999998,4.146918,0.401522,0.9661040000000001,2.903451,3.2204770000000003,0.184947,0.506833,2.2769369999999998,4.850048999999999,0.935959,1.538733,2.6188759999999998,0.993433,0.504831,1.118766,3.005907,2.698114,0.309208,0.805718,2.715008,3.7949349999999997,0.029656,0.125959,0.8864879999999999,6.93924,0.640508,1.355456,2.989127,1.994993,0.627156,1.303791,3.010089,2.110017
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.5181,42.9923,0.0,,0.001333,,0.006661,,0.000666,,0.354517,,0.017319,,0.003997,,0.0,,0.048631,,0.040637,,0.0,0.0,0.005003,14.995,0.003997,0.028992,0.555244,14.410429999999998,0.01699,0.10093300000000001,1.16524,13.71018,0.000667,0.013324,0.312525,14.672820000000002,0.371247,1.046878,4.499484,8.727874,0.036313,0.172895,1.612132,13.16134,0.009324,0.056299,0.8202879999999999,14.11009,0.0,0.0,0.010661,14.989339999999999,0.091605,0.336843,2.469369,12.05355,0.078613,0.305183,2.3160540000000003,12.25951
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5181,42.9923,0.325459,,6.7619110000000004,,11.93718,,4.362507,,40.39108,,15.71759,,8.840987,,0.47178400000000004,,22.71829,,21.40931,,0.477191,1.6932650000000002,13.23741,116.2667,4.989043,11.9613,42.53564,65.75211,7.313538,16.033820000000002,46.344440000000006,50.37103,3.5777,9.193230999999999,37.00822,77.85834,14.67598,23.78868,38.10362,15.04064,8.787382000000001,18.23299,47.32578,41.93625,6.004658999999999,13.585989999999999,43.86056,59.707809999999995,0.609413,2.186339,15.60336,113.1291,11.20982,21.12653,46.23106,30.7143,10.76018,20.656660000000002,46.72094,32.452909999999996
CR+PC/LWAL+DUC/FC/HBET:1-16,74.5823,42.9665,0.0,,0.000333,,0.002997,,0.000333,,0.031318,,0.005661,,0.002331,,0.0,,0.011326,,0.011326,,0.0,0.0,0.041341,0.958659,0.002664,0.016664,0.23063499999999998,0.749704,0.00733,0.029653,0.358239,0.601781,0.002664,0.014658,0.21059099999999997,0.771754,0.039318,0.13463699999999998,0.537347,0.25738,0.013327,0.047978,0.422587,0.510447,0.004995,0.024322,0.308558,0.659794,0.0,0.000333,0.040323,0.9593440000000001,0.018325,0.071632,0.492605,0.406112,0.017659,0.070632,0.490937,0.409446
