taxonomy,Lon,Lat,BALoccupants,BALoccupantsSTD,BALstructural,BALstructuralSTD,BELoccupants,BELoccupantsSTD,BELstructural,BELstructuralSTD,CHoccupants,CHoccupantsSTD,CHstructural,CHstructuralSTD,EAoccupants,EAoccupantsSTD,EAstructural,EAstructuralSTD,NFoccupants,NFoccupantsSTD,NFstructural,NFstructuralSTD,SToccupants,SToccupantsSTD,STstructural,STstructuralSTD,SFoccupants,SFoccupantsSTD,SFstructural,SFstructuralSTD,SUoccupants,SUoccupantsSTD,SUstructural,SUstructuralSTD,ISKoccupants,ISKoccupantsSTD,ISKstructural,ISKstructuralSTD,ISHAMoccupants,ISHAMoccupantsSTD,ISHAMstructural,ISHAMstructuralSTD
CR+PC/LWAL+DUC/FC/HBET:1-16,74.5803,43.0166,0.000344047,,7077.76,,0.0090275,,60286.5,,0.0295509,,121715.0,,0.0101376,,63006.3,,0.733877,,916608.0,,0.0528496,,173705.0,,0.022056,,100708.0,,0.000332622,,6940.87,,0.100008,,257153.0,,0.09887,,255338.0,
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.5803,43.0166,0.00546147,,30798.8,,0.184797,,210803.0,,0.592743,,427322.0,,0.25338,,251049.0,,4.96014,,1778910.0,,0.934934,,574350.0,,0.519088,,389892.0,,0.0121439,,46714.8,,1.52604,,795343.0,,1.51294,,790748.0,
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.5803,43.0166,0.0,,79.4218,,2.89134e-05,,3491.6,,0.00018151599999999997,,11860.6,,3.23679e-05,,3830.02,,0.0239863,,338603.0,,0.00044155400000000004,,21531.3,,0.000118305,,8936.42,,0.0,,69.1719,,0.00115221,,41093.5,,0.00113239,,40613.6,
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.5803,43.0166,0.00294136,,23897.0,,0.046405300000000003,,179660.0,,0.11650799999999999,,344787.0,,0.0498716,,186723.0,,1.06736,,1742360.0,,0.181319,,475880.0,,0.092056,,289000.0,,0.0028277,,23542.5,,0.289571,,670271.0,,0.287195,,666235.0,
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5803,43.0166,0.00523033,,11672.8,,0.0718299,,86410.6,,0.167242,,162717.0,,0.0763666,,89613.0,,1.2066700000000001,,734800.0,,0.250665,,221715.0,,0.13435,,137066.0,,0.00504362,,11501.5,,0.383112,,306796.0,,0.380277,,305057.0,
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.5181,42.9923,0.0131569,,32749.9,,0.33423,,245064.0,,0.7161310000000001,,405617.0,,0.260592,,205635.0,,2.27149,,898882.0,,0.969137,,499374.0,,0.569814,,345439.0,,0.0333121,,56896.4,,1.47937,,669854.0,,1.37925,,637906.0,
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.5181,42.9923,0.000509617,,4778.68,,0.0135547,,43435.4,,0.025584400000000004,,67884.3,,0.0084747,,30775.6,,0.100702,,185488.0,,0.0347594,,84913.7,,0.0184629,,53332.3,,0.000748141,,6098.8,,0.05266130000000001,,115207.0,,0.049199599999999996,,109587.0,
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.5181,42.9923,0.0,,53.0071,,3.92846e-05,,3796.71,,0.00016961,,9408.43,,1.35308e-05,,2007.94,,0.00481448,,91528.4,,0.000334871,,14732.1,,8.68929e-05,,6101.03,,0.0,,83.3843,,0.00084426,,27560.8,,0.000725335,,24829.6,
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5181,42.9923,0.00442513,,10203.2,,0.0879097,,89558.8,,0.155554,,137162.0,,0.0569894,,64026.8,,0.5280590000000001,,350178.0,,0.205171,,169637.0,,0.11546600000000001,,108805.0,,0.0062541,,13004.2,,0.297912,,225961.0,,0.280341,,215647.0,
CR+PC/LWAL+DUC/FC/HBET:1-16,74.5823,42.9665,0.00021125,,5177.34,,0.00596067,,32990.9,,0.016865599999999998,,59857.3,,0.00541477,,30360.1,,0.12014200000000001,,200870.0,,0.028214,,81976.6,,0.012231299999999999,,48862.0,,0.00021029,,5079.19,,0.048679900000000005,,114873.0,,0.047916900000000005,,113742.0,
