lon,lat,vs30,vs30measured,z1pt0,z2pt5
74.23592,43.1958,298.9093,0,459.6196,1.764804
74.33426,43.16882,258.2208,0,486.1869,2.086389
74.11188,43.12385,274.8604,0,476.442,1.942537
74.24742,43.12385,330.9097,0,432.1578,1.570963
74.46921,43.12385,223.5902,0,501.8455,2.460024
73.96396,43.11486,260.5149,0,484.9329,2.065386
74.38283,43.11486,302.2881,0,456.9926,1.742256
74.53067,43.11486,245.4562,0,492.6566,2.210972
74.56747,43.10587,308.1255,0,452.3002,1.704547
74.59164,43.07889,298.3021,0,460.0849,1.768914
74.41901,43.0609,286.5992,0,468.6408,1.851786
74.5421,43.0609,297.9445,0,460.3579,1.771343
73.84045,43.05191,251.6118,0,489.643,2.149202
74.48041,43.05191,345.7886,0,417.4958,1.493875
74.20956,43.04292,241.1971,0,494.6292,2.255692
74.33261,43.04292,270.7462,0,478.9929,1.976342
74.09873,43.03392,256.2016,0,487.267,2.105212
74.62778,43.03392,382.9491,0,376.3398,1.32923
74.66469,43.03392,261.4762,0,484.399,2.056701
73.70499,43.02493,253.2674,0,488.7985,2.133138
74.68913,43.02493,250.6324,0,490.1354,2.158813
74.57826,43.01594,353.7919,0,409.1489,1.455279
73.98766,42.98896,268.163,0,480.5469,1.998136
74.43027,42.98896,248.7306,0,491.0777,2.177706
74.51633,42.98896,274.3118,0,476.7875,1.946982
74.67615,42.98896,334.8697,0,428.3681,1.549728
74.72533,42.98896,296.486,0,461.4638,1.781315
74.57749,42.97097,239.9066,0,495.209,2.269578
74.63895,42.97097,396.5326,0,359.9803,1.27727
74.61421,42.96198,341.1612,0,422.1777,1.517077
74.79854,42.96198,330.3101,0,432.7245,1.574226
74.88457,42.96198,312.7362,0,448.4575,1.675829
74.27001,42.95298,285.8692,0,469.1488,1.857198
73.60648,42.94399,279.76,0,473.2802,1.903666
73.87676,42.94399,290.7529,0,465.6934,1.821554
74.1839,42.94399,271.1585,0,478.7415,1.972905
74.3559,42.94399,288.0447,0,467.6264,1.84116
74.47875,42.94399,274.6204,0,476.5931,1.944478
74.55246,42.94399,282.7255,0,471.3011,1.880841
74.58932,42.94399,290.1325,0,466.14,1.826011
74.61389,42.94399,279.6601,0,473.3463,1.904444
74.73675,42.94399,317.7574,0,444.1367,1.645569
74.09782,42.935,276.1713,0,475.6092,1.931992
74.60145,42.935,326.7336,0,436.0637,1.593954
74.61373,42.935,308.0056,0,452.3985,1.705306
74.6383,42.935,306.9185,0,453.2862,1.712218
74.66287,42.935,327.2214,0,435.6123,1.591236
74.67515,42.935,294.2269,0,463.1529,1.79697
73.75384,42.926,299.6696,0,459.0342,1.759682
74.41707,42.926,280.1387,0,473.0304,1.900722
74.53988,42.926,285.9745,0,469.0756,1.856416
74.56445,42.926,299.9821,0,458.7926,1.757586
74.58901,42.926,328.4448,0,434.4745,1.584458
74.61358,42.926,311.8394,0,449.2143,1.681344
74.62586,42.926,336.3625,0,426.918,1.541863
74.63814,42.926,327.4392,0,435.4102,1.590026
74.55202,42.91701,294.064,0,463.2735,1.798109
74.57658,42.91701,332.1445,0,430.9853,1.564283
74.60114,42.91701,336.7748,0,426.5154,1.539703
74.6257,42.91701,344.7753,0,418.5303,1.498898
74.63798,42.91701,351.9415,0,411.1063,1.464035
74.66254,42.91701,329.2639,0,433.7082,1.579948
74.69938,42.91701,326.9868,0,435.8294,1.592542
74.51503,42.90802,308.2287,0,452.2154,1.703894
74.53959,42.90802,309.2675,0,451.3597,1.697349
74.5887,42.90802,358.1008,0,404.5291,1.435263
74.60098,42.90802,359.2894,0,403.2395,1.429832
74.61326,42.90802,342.2965,0,421.0392,1.511323
74.62554,42.90802,359.9831,0,402.4842,1.426681
74.6501,42.90802,390.4071,0,367.4286,1.300221
74.55172,42.89902,331.936,0,431.1836,1.565408
74.564,42.89902,340.969,0,422.3702,1.518056
74.57627,42.89902,362.9003,0,399.2839,1.413569
74.63766,42.89902,368.425,0,393.1221,1.389345
74.66221,42.89902,398.7504,0,357.2571,1.269146
74.67449,42.89902,391.2003,0,366.4704,1.297206
74.69904,42.89902,365.8332,0,396.0289,1.400611
74.72359,42.89902,331.0268,0,432.047,1.570327
74.56385,42.89003,348.0321,0,415.1876,1.482862
74.57612,42.89003,353.714,0,409.2316,1.455644
74.5884,42.89003,370.6234,0,390.6344,1.379922
74.61295,42.89003,373.0027,0,387.9204,1.369856
74.62522,42.89003,367.8455,0,393.7744,1.39185
74.64977,42.89003,396.3949,0,360.1489,1.277777
74.67432,42.89003,425.558,0,323.4911,1.178107
74.69887,42.89003,404.6701,0,349.9267,1.247929
74.99346,42.89003,314.0806,0,447.3143,1.667625
74.52688,42.88104,319.1735,0,442.8927,1.63722
74.53915,42.88104,331.5243,0,431.5753,1.567631
74.55142,42.88104,335.6267,0,427.6342,1.54573
74.63733,42.88104,447.2717,0,295.5012,1.11291
74.64961,42.88104,465.3706,0,272.196,1.063534
74.66188,42.88104,457.8206,0,281.891,1.083623
74.71097,42.88104,426.5484,0,322.2213,1.174978
74.84597,42.88104,295.8283,0,461.9586,1.785847
74.91961,42.88104,318.3411,0,443.6251,1.642117
74.44083,42.87204,312.6198,0,448.5559,1.676543
74.48992,42.87204,319.5114,0,442.5942,1.635239
74.55127,42.87204,367.3343,0,394.3488,1.394066
74.56355,42.87204,393.6641,0,363.4818,1.287922
74.58809,42.87204,452.6234,0,288.5903,1.097869
74.60036,42.87204,446.2977,0,296.7597,1.115689
74.61263,42.87204,450.4508,0,291.3947,1.103928
74.67399,42.87204,499.8721,0,229.0402,0.9799842
74.69853,42.87204,480.4532,0,253.0447,1.025427
74.73534,42.87204,374.4366,0,386.2739,1.363857
74.74761,42.87204,324.5347,0,438.0824,1.606315
74.77216,42.87204,319.0999,0,442.9573,1.637651
73.9622,42.86305,370.0845,0,391.246,1.38222
74.35482,42.86305,298.9652,0,459.5769,1.764427
74.42843,42.86305,303.8753,0,455.7359,1.73185
74.47751,42.86305,309.3457,0,451.2947,1.696858
74.52659,42.86305,379.6738,0,380.1936,1.342356
74.5634,42.86305,414.527,0,337.5462,1.21404
74.57566,42.86305,429.237,0,318.7693,1.166562
74.62474,42.86305,492.6208,0,237.8995,0.9965042
74.63701,42.86305,504.8772,0,223.008,0.9688779
74.66155,42.86305,509.6473,0,217.3267,0.9585106
74.67382,42.86305,526.3931,0,197.9619,0.9237078
74.68609,42.86305,522.0474,0,202.8959,0.9325092
74.69836,42.86305,519.682,0,205.6091,0.9373668
74.71063,42.86305,506.2837,0,221.3257,0.9657995
74.78424,42.86305,304.0704,0,455.5803,1.730578
74.55098,42.85406,484.7206,0,247.6967,1.015106
74.58778,42.85406,467.443,0,269.5454,1.058142
74.60005,42.85406,467.4751,0,269.5043,1.058059
74.61232,42.85406,491.6449,0,239.1019,0.9987667
74.66139,42.85406,534.5511,0,188.8843,0.9075987
74.67365,42.85406,527.6694,0,196.5256,0.9211527
75.06622,42.85406,366.0829,0,395.7501,1.399518
74.14606,42.84506,404.097,0,350.6401,1.249954
74.21965,42.84506,515.3505,0,210.627,0.9463856
74.5263,42.84506,508.9635,0,218.137,0.9599844
74.57536,42.84506,506.9755,0,220.5005,0.9642919
74.62442,42.84506,531.6791,0,192.0518,0.9132097
74.63669,42.84506,543.0909,0,179.6517,0.8912902
74.64896,42.84506,532.7227,0,190.8973,0.9111636
74.69802,42.84506,533.2333,0,190.3339,0.9101648
74.72255,42.84506,523.6212,0,201.1014,0.9293044
75.27451,42.84506,277.2225,0,474.9348,1.923614
73.88843,42.83607,386.11,0,372.5853,1.316789
74.02333,42.83607,424.4187,0,324.9503,1.181725
74.29314,42.83607,526.1617,0,198.223,0.924173
74.55068,42.83607,508.1133,0,219.1462,0.9618222
74.59974,42.83607,458.365,0,281.1901,1.08215
74.612,42.83607,471.7878,0,264.0061,1.047001
74.63653,42.83607,528.472,0,195.6255,0.9195521
74.64879,42.83607,534.1762,0,189.2961,0.9083274
74.67332,42.83607,536.2786,0,186.994,0.9042548
75.29879,42.83607,294.0195,0,463.3066,1.798421
73.54503,42.82708,337.4842,0,425.8206,1.536001
74.51375,42.82708,572.7964,0,149.8396,0.8386119
74.53827,42.82708,514.4949,0,211.6253,0.948186
74.5628,42.82708,517.4717,0,208.1618,0.9419487
74.62411,42.82708,507.7098,0,219.626,0.9626968
74.63637,42.82708,504.8812,0,223.0031,0.9688691
75.34758,42.82708,321.2732,0,441.0274,1.624983
74.56265,42.81809,499.2025,0,229.8523,0.9814882
74.58717,42.81809,524.3995,0,200.2171,0.9277264
74.59943,42.81809,478.8727,0,255.0342,1.029299
74.62395,42.81809,501.0669,0,227.5938,0.9773112
74.66057,42.80909,539.9744,0,182.9882,0.8971781
75.23672,42.80909,378.0976,0,382.0341,1.34876
73.66759,42.8001,317.9471,0,443.9706,1.644445
73.76565,42.8001,366.3474,0,395.4545,1.398362
73.83919,42.8001,455.3097,0,285.1255,1.090462
74.09659,42.8001,422.5456,0,327.3461,1.18772
74.62363,42.8001,745.9473,0,45.66341,0.6199195
75.13842,42.8001,448.2069,0,294.2931,1.110253
74.36612,42.79111,637.1985,0,98.10189,0.7423747
74.52543,42.79111,639.6044,0,96.50326,0.7391812
74.73377,42.79111,611.9224,0,116.3159,0.7775581
74.95436,42.79111,414.1767,0,337.9893,1.215215
74.84387,42.78211,500.3064,0,228.5139,0.9790103
75.32175,42.78211,540.8991,0,181.9943,0.8954236
75.43203,42.78211,435.3456,0,310.9039,1.147856
74.57415,42.77312,882.251,0,17.46138,0.5116302
74.4515,42.76413,856.5764,0,20.86359,0.5292114
74.65958,42.75513,637.8985,0,97.63443,0.7414432
73.94914,42.74614,482.9228,0,249.9453,1.01943
75.22274,42.74614,538.8369,0,184.2155,0.8993449
74.19387,42.72815,761.0448,0,40.99989,0.605871
75.01391,42.71916,672.6058,0,76.79465,0.6978393
75.35666,42.71916,528.8583,0,195.1931,0.9187838
73.545,42.68319,900,0,15.45801,0.5001037
74.04659,42.68319,642.0194,0,94.92139,0.736001
74.3402,42.68319,849.314,0,21.94857,0.5343913
74.51133,42.67419,584.9708,0,138.7017,0.8186759
74.63365,42.67419,900,0,15.45801,0.5001037
75.08623,42.67419,859.1844,0,20.48791,0.5273742
73.74068,42.6652,898.147,0,15.65518,0.5012844
74.76802,42.6652,666.4295,0,80.1798,0.7052428
75.17138,42.65621,900,0,15.45801,0.5001037
73.88734,42.64721,888.2521,0,16.75462,0.5076777
74.88993,42.64721,900,0,15.45801,0.5001037
75.28119,42.64721,865.9337,0,19.54856,0.5226744
75.42791,42.64721,766.5198,0,39.42956,0.6009231
74.16773,42.56628,900,0,15.45801,0.5001037
74.49729,42.55728,900,0,15.45801,0.5001037
74.33845,42.54829,866.637,0,19.45333,0.5221889
74.68026,42.54829,900,0,15.45801,0.5001037
73.65482,42.5393,900,0,15.45801,0.5001037
74.99744,42.5393,900,0,15.45801,0.5001037
73.99651,42.5303,625.1613,0,106.4488,0.7587496
75.16784,42.52131,900,0,15.45801,0.5001037
75.33867,42.52131,878.7126,0,17.89295,0.513988
73.81338,42.51232,790.3478,0,33.27502,0.5802425
