lon,lat,vs30,z1pt0,z2pt5,vs30measured
74.30000,42.70000,6.042060E+02,1.224070E+02,7.889289E-01,0
74.29990,42.70900,6.278024E+02,1.045670E+02,7.550992E-01,0
74.29980,42.71801,5.660624E+02,1.562737E+02,8.500348E-01,0
74.29970,42.72701,7.882603E+02,3.377267E+01,5.820007E-01,0
74.29960,42.73602,7.685260E+02,3.886947E+01,5.991286E-01,0
74.29949,42.74502,6.737122E+02,7.620234E+01,6.965284E-01,0
74.29939,42.75403,6.154693E+02,1.136006E+02,7.724340E-01,0
74.29929,42.76303,6.120735E+02,1.161991E+02,7.773386E-01,0
74.29919,42.77204,6.724864E+02,7.685883E+01,6.979811E-01,0
74.29909,42.78104,7.345722E+02,4.952309E+01,6.309138E-01,0
74.29899,42.79005,6.877867E+02,6.902837E+01,6.802468E-01,0
74.29888,42.79905,6.250359E+02,1.065388E+02,7.589240E-01,0
74.29878,42.80806,6.076482E+02,1.196585E+02,7.838184E-01,0
74.29868,42.81706,5.932716E+02,1.314743E+02,8.055850E-01,0
74.29858,42.82607,5.792608E+02,1.438460E+02,8.279143E-01,0
74.29848,42.83507,5.393350E+02,1.836776E+02,8.983951E-01,0
74.29838,42.84408,4.775721E+02,2.566747E+02,1.032507E+00,0
74.29827,42.85308,4.021960E+02,3.530008E+02,1.256715E+00,0
74.29817,42.86209,3.512170E+02,4.118682E+02,1.467489E+00,0
74.29807,42.87109,3.307427E+02,4.323157E+02,1.571870E+00,0
74.29797,42.88009,3.282404E+02,4.346651E+02,1.585586E+00,0
74.29787,42.88910,3.282541E+02,4.346525E+02,1.585511E+00,0
74.29776,42.89810,3.174433E+02,4.444112E+02,1.647432E+00,0
74.29766,42.90711,3.024433E+02,4.568701E+02,1.741233E+00,0
74.29756,42.91611,2.966099E+02,4.613705E+02,1.780464E+00,0
74.29746,42.92512,2.939397E+02,4.633656E+02,1.798980E+00,0
74.29735,42.93412,2.911081E+02,4.654370E+02,1.819012E+00,0
74.29725,42.94313,2.865339E+02,4.686864E+02,1.852270E+00,0
74.29715,42.95213,2.830899E+02,4.710546E+02,1.878072E+00,0
74.29705,42.96114,2.794655E+02,4.734741E+02,1.905962E+00,0
74.29694,42.97014,2.728030E+02,4.777294E+02,1.959306E+00,0
74.29684,42.97914,2.771300E+02,4.749941E+02,1.924347E+00,0
74.29674,42.98815,2.640354E+02,4.829534E+02,2.033912E+00,0
74.29664,42.99715,2.647642E+02,4.825352E+02,2.027507E+00,0
74.29653,43.00616,2.559472E+02,4.874018E+02,2.107607E+00,0
74.29643,43.01516,2.422820E+02,4.941355E+02,2.244141E+00,0
74.29633,43.02417,2.394439E+02,4.954147E+02,2.274596E+00,0
74.29623,43.03317,2.506572E+02,4.901230E+02,2.158569E+00,0
74.29612,43.04218,2.782611E+02,4.742617E+02,1.915401E+00,0
74.29602,43.05118,3.193265E+02,4.427576E+02,1.636321E+00,0
74.29592,43.06018,3.314993E+02,4.315989E+02,1.567767E+00,0
74.29581,43.06919,3.427296E+02,4.206032E+02,1.509138E+00,0
74.29571,43.07819,3.072174E+02,4.530429E+02,1.710312E+00,0
74.29561,43.08720,2.708864E+02,4.789077E+02,1.975173E+00,0
74.29550,43.09620,3.014538E+02,4.576474E+02,1.747773E+00,0
74.31221,42.70007,5.846725E+02,1.389669E+02,8.191538E-01,0
74.31211,42.70908,5.954836E+02,1.295985E+02,8.021628E-01,0
74.31201,42.71808,4.320485E+02,3.151526E+02,1.157882E+00,0
74.31191,42.72709,7.114905E+02,5.836688E+01,6.543828E-01,0
74.31181,42.73609,7.997858E+02,3.111740E+01,5.724159E-01,0
74.31171,42.74510,6.783979E+02,7.374030E+01,6.910276E-01,0
74.31161,42.75410,6.069915E+02,1.201790E+02,7.847885E-01,0
74.31151,42.76311,6.265012E+02,1.054905E+02,7.568936E-01,0
74.31141,42.77211,7.178571E+02,5.578441E+01,6.477479E-01,0
74.31131,42.78112,7.564434E+02,4.236829E+01,6.100892E-01,0
74.31121,42.79012,6.549522E+02,8.683376E+01,7.193987E-01,0
74.31111,42.79913,6.103437E+02,1.175415E+02,7.798591E-01,0
74.31101,42.80813,6.032654E+02,1.231668E+02,7.903363E-01,0
74.31091,42.81714,5.929398E+02,1.317575E+02,8.061011E-01,0
74.31081,42.82614,5.869417E+02,1.369587E+02,8.155316E-01,0
74.31071,42.83515,5.545873E+02,1.676798E+02,8.701853E-01,0
74.31061,42.84415,4.842044E+02,2.483417E+02,1.016344E+00,0
74.31051,42.85316,4.094441E+02,3.439553E+02,1.231298E+00,0
74.31041,42.86216,3.580591E+02,4.045744E+02,1.435454E+00,0
74.31031,42.87116,3.190359E+02,4.430139E+02,1.638027E+00,0
74.31021,42.88017,3.129778E+02,4.482529E+02,1.674350E+00,0
74.31011,42.88917,3.188415E+02,4.431851E+02,1.639170E+00,0
74.31001,42.89818,3.188513E+02,4.431766E+02,1.639112E+00,0
74.30991,42.90718,3.062791E+02,4.538053E+02,1.716308E+00,0
74.30981,42.91619,2.961838E+02,4.616914E+02,1.783395E+00,0
74.30971,42.92519,2.938241E+02,4.634514E+02,1.799790E+00,0
74.30961,42.93420,2.920266E+02,4.647701E+02,1.812468E+00,0
74.30951,42.94320,2.866061E+02,4.686361E+02,1.851736E+00,0
74.30941,42.95221,2.839053E+02,4.704999E+02,1.871902E+00,0
74.30931,42.96121,2.813024E+02,4.722571E+02,1.891729E+00,0
74.30921,42.97021,2.722950E+02,4.780436E+02,1.963488E+00,0
74.30911,42.97922,2.706691E+02,4.790399E+02,1.976987E+00,0
74.30900,42.98822,2.623123E+02,4.839306E+02,2.049203E+00,0
74.30890,42.99723,2.562773E+02,4.872271E+02,2.104501E+00,0
74.30880,43.00623,2.573918E+02,4.866329E+02,2.094079E+00,0
74.30870,43.01524,2.697332E+02,4.796068E+02,1.984835E+00,0
74.30860,43.02424,2.691375E+02,4.799650E+02,1.989863E+00,0
74.30850,43.03325,2.685818E+02,4.802974E+02,1.994573E+00,0
74.30840,43.04225,2.808488E+02,4.725594E+02,1.895226E+00,0
74.30830,43.05125,2.840180E+02,4.704232E+02,1.871052E+00,0
74.30820,43.06026,2.773795E+02,4.748333E+02,1.922369E+00,0
74.30809,43.06926,2.858664E+02,4.691508E+02,1.857219E+00,0
74.30799,43.07827,3.050807E+02,4.547718E+02,1.724023E+00,0
74.30789,43.08727,3.091482E+02,4.514583E+02,1.698099E+00,0
74.30779,43.09628,2.691761E+02,4.799419E+02,1.989537E+00,0
74.32442,42.70015,6.078850E+02,1.194714E+02,7.834690E-01,0
74.32432,42.70915,7.408012E+02,4.737112E+01,6.248487E-01,0
74.32422,42.71816,9.000000E+02,1.545801E+01,5.001037E-01,0
74.32412,42.72716,9.000000E+02,1.545801E+01,5.001037E-01,0
74.32403,42.73617,7.546849E+02,4.290326E+01,6.117158E-01,0
74.32393,42.74517,6.190617E+02,1.109042E+02,7.673081E-01,0
74.32383,42.75418,6.463570E+02,9.213741E+01,7.303531E-01,0
74.32373,42.76318,5.990956E+02,1.265808E+02,7.966326E-01,0
74.32363,42.77219,5.998523E+02,1.259558E+02,7.954825E-01,0
74.32354,42.78119,6.040048E+02,1.225693E+02,7.892295E-01,0
74.32344,42.79020,6.051949E+02,1.216123E+02,7.874544E-01,0
74.32334,42.79920,6.027673E+02,1.235707E+02,7.910836E-01,0
74.32324,42.80820,6.007780E+02,1.251944E+02,7.940810E-01,0
74.32314,42.81721,5.970427E+02,1.282891E+02,7.997665E-01,0
74.32305,42.82621,5.896897E+02,1.345565E+02,8.111858E-01,0
74.32295,42.83522,5.585027E+02,1.637260E+02,8.632101E-01,0
74.32285,42.84422,4.830970E+02,2.497272E+02,1.019010E+00,0
74.32275,42.85323,3.999089E+02,3.558293E+02,1.264940E+00,0
74.32265,42.86223,3.485705E+02,4.146299E+02,1.480244E+00,0
74.32255,42.87124,3.186516E+02,4.433523E+02,1.640288E+00,0
74.32246,42.88024,3.101688E+02,4.506120E+02,1.691707E+00,0
74.32236,42.88925,3.161752E+02,4.455135E+02,1.654993E+00,0
74.32226,42.89825,3.138666E+02,4.474971E+02,1.668926E+00,0
74.32216,42.90726,3.012708E+02,4.577904E+02,1.748987E+00,0
74.32206,42.91626,2.947191E+02,4.627875E+02,1.793537E+00,0
74.32196,42.92527,2.905818E+02,4.658169E+02,1.822781E+00,0
74.32186,42.93427,2.879934E+02,4.676626E+02,1.841534E+00,0
74.32176,42.94327,2.857771E+02,4.692125E+02,1.857883E+00,0
74.32167,42.95228,2.823188E+02,4.715755E+02,1.883941E+00,0
74.32157,42.96128,2.822725E+02,4.716068E+02,1.884295E+00,0
74.32147,42.97029,2.729781E+02,4.776208E+02,1.957868E+00,0
74.32137,42.97929,2.669398E+02,4.812697E+02,2.008615E+00,0
74.32127,42.98830,2.698344E+02,4.795457E+02,1.983985E+00,0
74.32117,42.99730,2.639829E+02,4.829836E+02,2.034374E+00,0
74.32107,43.00631,2.557010E+02,4.875315E+02,2.109928E+00,0
74.32097,43.01531,2.489859E+02,4.909524E+02,2.175153E+00,0
74.32087,43.02432,2.561180E+02,4.873114E+02,2.105999E+00,0
74.32077,43.03332,2.754198E+02,4.760878E+02,1.938025E+00,0
74.32067,43.04232,2.587242E+02,4.859141E+02,2.081747E+00,0
74.32058,43.05133,2.740533E+02,4.769498E+02,1.949083E+00,0
74.32048,43.06033,2.974901E+02,4.607038E+02,1.774439E+00,0
74.32038,43.06934,3.044778E+02,4.552550E+02,1.727928E+00,0
74.32028,43.07834,3.130013E+02,4.482331E+02,1.674206E+00,0
74.32018,43.08735,3.121445E+02,4.489573E+02,1.679465E+00,0
74.32008,43.09635,2.773757E+02,4.748356E+02,1.922398E+00,0
74.33663,42.70022,6.819787E+02,7.190884E+01,6.868781E-01,0
74.33653,42.70922,6.072942E+02,1.199389E+02,7.843410E-01,0
74.33643,42.71823,6.525766E+02,8.827171E+01,7.223955E-01,0
74.33634,42.72723,5.643082E+02,1.579816E+02,8.530586E-01,0
74.33624,42.73624,7.575284E+02,4.204152E+01,6.090896E-01,0
74.33615,42.74524,8.888232E+02,1.668896E+01,5.073046E-01,0
74.33605,42.75425,8.672522E+02,1.937044E+01,5.217652E-01,0
74.33595,42.76325,7.129020E+02,5.778454E+01,6.529011E-01,0
74.33586,42.77226,6.500269E+02,8.983862E+01,7.256384E-01,0
74.33576,42.78126,6.416852E+02,9.513899E+01,7.364395E-01,0
74.33566,42.79027,6.265701E+02,1.054415E+02,7.567984E-01,0
74.33557,42.79927,5.998231E+02,1.259799E+02,7.955272E-01,0
74.33547,42.80828,5.995193E+02,1.262305E+02,7.959883E-01,0
74.33538,42.81728,5.965592E+02,1.286940E+02,8.005083E-01,0
74.33528,42.82629,5.870957E+02,1.368232E+02,8.152871E-01,0
74.33518,42.83529,5.494872E+02,1.729247E+02,8.794312E-01,0
74.33509,42.84430,4.760981E+02,2.585379E+02,1.036165E+00,0
74.33499,42.85330,3.895616E+02,3.684478E+02,1.303450E+00,0
74.33489,42.86230,3.427773E+02,4.205551E+02,1.508898E+00,0
74.33480,42.87131,3.183778E+02,4.435929E+02,1.641900E+00,0
74.33470,42.88031,3.074691E+02,4.528375E+02,1.708710E+00,0
74.33460,42.88932,3.079930E+02,4.524089E+02,1.705387E+00,0
74.33451,42.89832,3.117617E+02,4.492796E+02,1.681823E+00,0
74.33441,42.90733,3.080589E+02,4.523549E+02,1.704969E+00,0
74.33431,42.91633,3.010945E+02,4.579279E+02,1.750159E+00,0
74.33422,42.92534,2.929450E+02,4.640984E+02,1.805968E+00,0
74.33412,42.93434,2.880160E+02,4.676467E+02,1.841370E+00,0
74.33402,42.94335,2.875699E+02,4.679608E+02,1.844637E+00,0
74.33392,42.95235,2.825977E+02,4.713876E+02,1.881814E+00,0
74.33383,42.96136,2.816236E+02,4.720424E+02,1.889263E+00,0
74.33373,42.97036,2.785209E+02,4.740926E+02,1.913357E+00,0
74.33363,42.97936,2.609429E+02,4.846957E+02,2.061511E+00,0
74.33354,42.98837,2.631588E+02,4.834527E+02,2.041664E+00,0
74.33344,42.99737,2.691175E+02,4.799771E+02,1.990031E+00,0
74.33334,43.00638,2.620982E+02,4.840508E+02,2.051117E+00,0
74.33324,43.01538,2.513136E+02,4.897933E+02,2.152120E+00,0
74.33315,43.02439,2.509925E+02,4.899547E+02,2.155269E+00,0
74.33305,43.03339,2.550809E+02,4.878575E+02,2.115797E+00,0
74.33295,43.04240,2.707462E+02,4.789929E+02,1.976342E+00,0
74.33285,43.05140,2.910729E+02,4.654625E+02,1.819262E+00,0
74.33276,43.06040,3.030794E+02,4.563678E+02,1.737053E+00,0
74.33266,43.06941,2.979111E+02,4.603834E+02,1.771571E+00,0
74.33256,43.07841,2.868205E+02,4.684864E+02,1.850152E+00,0
74.33246,43.08742,2.982307E+02,4.601396E+02,1.769398E+00,0
74.33236,43.09642,2.860335E+02,4.690347E+02,1.855978E+00,0
74.34883,42.70029,7.033957E+02,6.181735E+01,6.630054E-01,0
74.34874,42.70929,7.528513E+02,4.346832E+01,6.134202E-01,0
74.34865,42.71830,7.499768E+02,4.436915E+01,6.161106E-01,0
74.34855,42.72730,7.946075E+02,3.228280E+01,5.766854E-01,0
74.34846,42.73631,7.466661E+02,4.542981E+01,6.192368E-01,0
74.34836,42.74531,6.016694E+02,1.244647E+02,7.927349E-01,0
74.34827,42.75432,7.937914E+02,3.247050E+01,5.773636E-01,0
74.34817,42.76332,8.837311E+02,1.728416E+01,5.106499E-01,0
74.34808,42.77233,8.136149E+02,2.821328E+01,5.612991E-01,0
74.34799,42.78133,7.005768E+02,6.306422E+01,6.660578E-01,0
74.34789,42.79034,6.280531E+02,1.043899E+02,7.547547E-01,0
74.34780,42.79934,5.958970E+02,1.292503E+02,8.015258E-01,0
74.34770,42.80835,5.975417E+02,1.278721E+02,7.990026E-01,0
74.34761,42.81735,5.905569E+02,1.338052E+02,8.098232E-01,0
74.34751,42.82636,5.804899E+02,1.427267E+02,8.259093E-01,0
74.34742,42.83536,5.194508E+02,2.058754E+02,9.378439E-01,0
74.34732,42.84437,4.258836E+02,3.230738E+02,1.177077E+00,0
74.34723,42.85337,3.481262E+02,4.150900E+02,1.482404E+00,0
74.34713,42.86238,3.217188E+02,4.406287E+02,1.622410E+00,0
74.34704,42.87138,3.127266E+02,4.484655E+02,1.675888E+00,0
74.34694,42.88038,3.048078E+02,4.549909E+02,1.725789E+00,0
